comments,star_rating,tags
I hate him. He\'s an ****. So damn picky and mean to his class. He also thinks he is so much better than his students. Don\'t be scared to challenge this guy. He deserves it.,2.3,"hate, picky, mean, better than students, challenge, deserves"
cool professor i liked her style,3.9,"cool, liked, style"
"fair but challenging marker. not an easy course, but she is very knowledgeable and helpful when you need it. difficult to take notes off, however. needs a powerpoint presentation or something",3.7,"knowledgeable, helpful, challenging, fair"
"Really smart, funny guy. Excellent teacher, very knowledgeable. Expect to read A LOT, though. Our class didn\'t because of a bookstore issue, but traditionally he is very big on the reading.",4.0,"smart, funny, excellent teacher, knowledgeable, big on reading"
his class is really easy...all you have to do is come to class to turn in homework and u\'ll be fine,4.3,"easy, fine, homework, class, come"
No Comments,3.8,NA
"Intensive, but very interesting. I wasn\'t able to put as much effort into it as I wish I could have, and that\'s a sign to me that it\'s a good class. She certainly knows what she is talking about.",4.4,"Intensive, interesting, good class, knowledgeable"
"Don\'t buy the book, he never uses it. If you like listening about his son, great because that\'s all you are going to do! It was an easy class but I didn\'t care for him because all he talks about is himself and not what\'s on the test. It\'s an easy class though.",3.8,"self-centered, irrelevant anecdotes, easy class"
I really hate his teaching style... he goes on and on and doesn\'t explain things well. Plus he wrote his own textbook... and you must read it because he\'s not great at teaching... retire already..,4.3,"hate, goes on and on, doesn't explain well, wrote own textbook, must read, not great at teaching, retire"
No Comments,4.8,NA
"he\'s very....colorful...rainbow colorful. He\'s got 6 rings on at all times, three on his left and three on his right. an earing. and he runs around like a chicken with its head cut off...but god is it a great class.",4.6,"colorful, energetic, engaging, enthusiastic"
"Spoke directly from the book, didn\'t prepare her own notes, was surprised by the answers to the problems she was reading out loud from the book.",1.3,"unprepared, surprised, book-dependent"
"LOVED HER! Larkin is an amazing professor. shes very enthusiastic and believes in her students. she will not let you give up, and will push you until you succeed Be prepared to give 110%, she doesnt like slacking, but she will give you a break if you need it. Class is fun, and you make great friends. Highly recommend her! you wont regret it",3.3,"enthusiastic, believes in students, pushes for success, high expectations, fun class, highly recommend"
"Lots of work, lots of material to cover in a short time. Poor teaching style (only uses powerpoint slides) but possesses a great deal of knowledge. Tough exams and tough marker - Beware!",3.2,"poor teaching style, knowledgeable, tough exams, tough marker"
"Dr. McGill is very sweet and willing to help if needed. Her office hours are very helpful. The content is difficult but reading and chem mentors really helps. For fall 2017, McGill and Williams will be the only ones with experience teaching the new course, Chem 150, so take them!",3.8,"sweet, helpful, experienced"
Brilliant. A deep thinker and a poet. I was honoured to have studied with him.,3.0,"Brilliant, deep thinker, poet, honoured"
"VERY BORING!!! He reads from his powerpoints and expects you to learn on your own pretty much.. He is not hard, you just have to keep yourself motivated because he sure wont.",2.6,"boring, reads from powerpoints, expects self-learning, not motivating"
great teacher!!,4.8,"great, teacher"
Nielson\'s class was great. Assingments wern\'t too hard and had very clear due dates. The class atmosphere was laid back. Nielson\'s knowledge of the subject is pretty vast and he makes it easy for one to learn a lot.,4.4,"knowledgeable, laid back, clear due dates, easy to learn"
"Very intelligent lady- but you have to write the way she wants you to write. Seems like she\'s a bit bored with teaching but still an okay professor. Heavy work load, but a fair grader.",3.5,"intelligent, bored, okay, heavy workload, fair grader"
"Easy Class. Make sure you don\'t skip it, attendance is important. Other than that its a very relax atmosphere.",3.2,"Easy Class, Attendance important, Relax atmosphere"
Doctor is the best. Intelligent and informative lectures. Put effort into the class and you\'ll do fine. Take him.,4.2,"Intelligent, informative, best, effort, recommended"
"If this class had been for law students, and a full year it would have been fine. But important sections of business law (commericial paper, life and death of a corporation) were ignored in favor of Consitutional law and current events. If you take him be sure to read the whole book.",1.5,"- knowledgeable
- thorough
- focused on Constitutional law
- neglects important sections of business law"
"I took him for both my 310 and 410. He\'s good, the best professor in SHA. Just go to every class and take notes. He told you what the problem will be on the exam before hand. The T/F might be a bit tricky tho. I managed to got a perfect score on my last exam for 310. he only taught the basic stuff in the textbook. Recommend!",3.2,"good, best professor, go to every class, take notes, exam hints, tricky T/F, perfect score, basic stuff, recommend"
"I took the class online Fall 2016. I used to study from Chapter Interactive mostly, sometimes from the huge book or power points. I took notes when watching each chapter interactive. There is some extra credit ""LearnSmart"" of 2 points for each chapter. Also, 10 extra points for taking LACCD survey. 1 weekly homework, and 1 bimonthly exams.",4.1,NA
I am smarter than she is. She has a very little vocabulary. She is sarcastic in an annoying way. She should do students a favor by quitting.,1.3,"arrogant, limited vocabulary, sarcastic, annoying, should quit"
This class is an easy A. Kraay makes the content easy to grasp with tons of examples and his lectures are great! Would 100% take his course again!,4.5,"easy A, easy to grasp, great lectures, would take again"
"SOOOO CUTE! I LOVED his classes, even tho they were early, i never missed a chance to hear him lecture. so smart and willing to help. definitely take as many classes as possible with him!",4.8,"smart, willing to help, cute"
"She is intelligent and kind. However, the constant powerpoints of the readings got dull. When she didn\'t rely on them to lecture it was great. She will show you a lot of perspectives and the class is overall incredibly interesting.",2.8,"intelligent, kind, dull, great, perspectives, interesting"
"No textbook necessary for this class. Ghorashi lectures the entire class which can be boring but he is very clear and always asks if everyone understands because all test and quizzes are based on notes taken during lecture. He revisits previous lessons at the beginning of class. A quiz every week, midterm, and final, rarely any homework.",3.5,"clear, boring, revisits previous lessons, quizzes, midterm, final"
No Comments,3.5,NA
"A bit boring, but the exams are very representative of what we see in class...",3.9,"boring, representative, exams"
Nan was one of the most helpful teachers I have ever had. She went out of her way to make sure I passed the class.,4.1,"helpful, caring, dedicated"
"I bet the previous post is from the girl who had already failed his class once and probably failed again. He was without question the best math teacher I have ever had at any level. The few phone calls he had were because of his level of responsibility with his full time job, they were few and far between. Students took calls if needed also.",4.6,"responsible, best math teacher, dedicated, few phone calls"
"The worst experience I have ever encountered with a professor. He NEVER answered my emails, or questions. He waited until the last possible minute to upload or grade anything, meanwhile his folders were stocked with files that dated back to 2012. Most unorganized class ever, and so unhelpful.",3.3,"worst experience, NEVER answered emails, NEVER answered questions, last minute, unorganized, unhelpful"
Took course with Newhart and only passed by two points while learning nothing. Re-took course with Parchment and ACED it while learning alot. Newhart: TONS of homework; Parchment: NO homework. Conclusion: take Parchment!!,3.5,"strict, ineffective, knowledgeable, engaging, helpful"
Dr. Baker is very helpful and intelligent and definitely one of the best professors I\'ve ever had.,4.4,"helpful, intelligent, best professor"
"Awesome professor, he made Micro interesting. Such a genuine and funny guy, he really cares about his students and does a great job portraying the material. All of his lectures are online which helps with exams so much. Would 100% take him again if my major required me to. Great dad jokes.",4.5,"awesome, interesting, genuine, funny, caring, great job, online lectures, exams, great dad jokes"
