comments,star_rating,tags,compound,sentiment_category,professor_name,ranked_tags_w2v,Tag1,Tag2,Tag3,Tag4,Tag5
"Never noticed him goad or insult anyone. Very kind. Ultra-liberal. Comments on papers are helpful, but not exhaustive. His lectures are slow but informative because he pauses to think about what he is going to say. Friendly in and outside of class.",3.5,"kind, ultra-liberal, helpful, informative, friendly",0.8555,positive,Robert Warden,"helpful, informative, friendly, kind, ultra-liberal",helpful,informative,friendly,kind,ultra-liberal
"extremely boring projects, not very knowlegeable, doesn\'t give much feedback or says it\'s fine and then grades tough. seems to like more traditional things.",2.5,"boring, not knowledgeable, minimal feedback, tough grader, traditional",-0.4215,negative,William Hollinrake,"boring, traditional, tough grader, not knowledgeable, minimal feedback",boring,traditional,tough grader,not knowledgeable,minimal feedback
"Loved this professor, easy and right to the point. If you needed anything he was always there.",3.7,"Loved, easy, right to the point, always there",0.7783,positive,Joan Krone,"loved, easy, right to the point, always there",loved,easy,right to the point,always there,
"fairly cool teacher, but really into ecology. Be warned, the ecology is mindless busywork, today we counted how many mealworms were being bred in a mound by hand-2300. But she is by far the best and easiest of all the lab teachers",4.3,"cool, into ecology, mindless busywork, best, easiest",0.7506,positive,Robert Warden,"easiest, best, cool, mindless busywork, into ecology",easiest,best,cool,mindless busywork,into ecology
Coach respects everyone\'s opinion. He encourages everyone to share their feelings. Love this class. I\'ll miss him.,4.3,"respectful, encouraging, caring",0.8625,positive,William Hollinrake,"respectful, caring, encouraging",respectful,caring,encouraging,,
She\'s a great teacher. She\'s very nice and funny. The books are easy reads and its very easy to get an A in the class. The essays are not bad. I recommend her for anyone taking any of her english classes.,4.7,"great, nice, funny, easy, recommend",0.9349,positive,William Hollinrake,"nice, great, easy, funny, recommend",nice,great,easy,funny,recommend
Really terrifying. Make sure you study for your lab quizzes and be prepared for her to be really harsh.,1.7,"terrifying, harsh, prepared, study",-0.6908,negative,William Hollinrake,"harsh, terrifying, prepared, study",harsh,terrifying,prepared,study,
"Was a very hard teacher, but very good. I learned a lot taking his class. He is a very good instructor and will work with you if you don\'t understand something.",4.7,"hard teacher, good, learned a lot, very good instructor, works with students",0.6597,positive,Ruben Mouhiddan,"good, works with students, very good instructor, learned a lot, hard teacher",good,works with students,very good instructor,learned a lot,hard teacher
Mr. Hood is the most incompetent instructor I have ever had.,3.1,incompetent,-0.4767,negative,Hon Linda,incompetent,incompetent,,,,
if you read you will pass then tests are a piece of cake and if you need help he\'s is always open to your questions he has ALOT of patience ! great professor!,4.1,"knowledgeable, patient, helpful, great professor",0.7845,positive,William Hollinrake,"knowledgeable, helpful, patient, great professor",knowledgeable,helpful,patient,great professor,
"Mr. Trentham is one of the greatest teachers I\'ve ever had. If you show effort, he will help you as much as possible. He is very laid back and as long as you try, it\'s an easy class. :) I\'m making sure to sign up for his ACT 202 class, I can\'t imagine taking anyone else!",4.8,"great, laid back, helpful, easy-going",0.7845,positive,Jans Wager,"helpful, great, laid back, easy-going",helpful,great,laid back,easy-going,
"Mr. Hu is a very nice guy, but he\'s also one of the most difficult math professors I\'ve ever had. I struggled to earn a C, but Hu is very well organized and you can learn a lot from his lectures. Not recommended for the faint of heart but if you identify as a math geek and like a challenge then this is the guy for you.",3.9,"strict, organized, challenging, knowledgeable",0.1531,positive,Clark,"knowledgeable, strict, challenging, organized",knowledgeable,strict,challenging,organized,
She\'s a very nice lady and she\'s a great teacher.,4.8,"nice, great",0.7845,positive,Bryan Eldredge,"nice, great",nice,great,,,
"Re: Class size. Do you seriously think it is the prof\'s fault that the class is so large? And for those of you who complain about his by the book style, would prefer he not touch on the books in class, but test you on it anyways? Anyways, this guy is a great prof.",3.7,great prof,0.6249,positive,Robert Warden,great prof,great prof,,,,
"Professor Young is amazing! I have always had a hard time with algebra, I made a C in pre algebra even! I dropped college algebra three times before finding professor Young. He speaks math to where I can actually understand it. Couldn\'t find a better math teacher!",4.6,"amazing, speaks math well, understandable, best math teacher",0.8779,positive,Jans Wager,"amazing, understandable, speaks math well, best math teacher",amazing,understandable,speaks math well,best math teacher,
"Has been teaching English for 30 years. Loves lit; constantly talks about the ""beauty"" of a passage--or how ""this one line is worth studying the entire semester for--seriously."" Compared to other lit courses, the reading is fairly light--about 2-4 chapters per class. But my first paper grade was a vague B+/A-, which you should expect a lot of.",4.0,"experienced, passionate, enthusiastic, insightful, light workload, high expectations",0.765,positive,William Hollinrake,"passionate, enthusiastic, insightful, experienced, light workload",passionate,enthusiastic,insightful,experienced,light workload
this is the biggest farce of a class that i have ever seen. and how can it even be considered a class if it\'s always cancelled? nice prof. but not a good one.,2.5,"farce, cancelled, nice prof",-0.2263,negative,William Hollinrake,"farce, nice prof, cancelled",farce,nice prof,cancelled,,
"AMAZING prof. One of the best I have had in a long time. Tries to connect everything to the students and encourages discussions in class. . Don\'t really need the textbook because he posts all the topics in his ppt slides, which is great. Readings are dry but if you go to the lectures, you don\'t have to do the readings, which is great.",4.5,"AMAZING, best, connects with students, encourages discussions, provides ppt slides, great lectures",0.9496,positive,William Hollinrake,"amazing, best, provides ppt slides, great lectures, encourages discussions",amazing,best,provides ppt slides,great lectures,encourages discussions
Way too much homework. Doesn\'t offer any extra credit. Very picky! Strict internet course timeline.,2.6,"strict, picky, too much homework, no extra credit, internet course timeline",0.1027,positive,Jans Wager,"picky, strict, too much homework, no extra credit, internet course timeline",picky,strict,too much homework,no extra credit,internet course timeline
He\'s literally the coach Carter of english....,3.7,"coach Carter, english",0.0,neutral,Robert Warden,"english, coach carter",english,coach carter,,,
"Koene is great! She\'s hard enough to make you think and work, but she doesn\'t give you busywork that doesn\'t make sense to do. She also likes to help students and is very patient. Plus, she\'s had such an interesting life!",4.5,"great, hardworking, helpful, patient, interesting",0.8625,positive,Robert Warden,"helpful, great, interesting, hardworking, patient",helpful,great,interesting,hardworking,patient
"If you have to take this class and dont want to have to study too much. Carter is the guy to take. If you want to really learn something though he\'s not the guy. Super nice guy, but just didnt feel like I learned alot from his class. If you take him, get ready for ALOT of corny jokes.",4.8,"friendly, not very informative, corny jokes",0.6666,positive,Leslie Looney,"friendly, not very informative, corny jokes",friendly,not very informative,corny jokes,,
"Great lecturer, clearly enthusiastic about film and her passion rubs off on students. Very clear, very helpful, all in all awesome prof!",3.7,"Great lecturer, enthusiastic, passionate, clear, helpful, awesome prof",0.9648,positive,William Hollinrake,"enthusiastic, passionate, helpful, clear, great lecturer",enthusiastic,passionate,helpful,clear,great lecturer
"I know he seems intimidating. It\'s easy. The key to this class is to do the work. People don\'t come to class prepare (ie do the readings) and then expect him to teach all the basics. It\'s simple. Do the work before class, challenge yourself by extra problems, ask the tutor if you have questions and you\'ll do fine.",3.2,"intimidating, easy, do the work, prepare, challenge, extra problems, ask the tutor, fine",-0.1531,negative,Leslie Looney,"intimidating, challenge, easy, fine, prepare",intimidating,challenge,easy,fine,prepare
"Taken a million of his classes, and would recommend each one. Love him!",4.9,"friendly, knowledgeable, recommended",0.6124,positive,Panos Alexakos,"knowledgeable, friendly, recommended",knowledgeable,friendly,recommended,,
Still in the semester. TOUGH so far but there\'s a lot I have already learned. Def a challenging class but what you put in you will get out.,3.5,"TOUGH, challenging, learned, valuable",0.3542,positive,Sally Mallory,"tough, challenging, valuable, learned",tough,challenging,valuable,learned,
Horrible. Zero effort in teaching the class. Stupid movie after stupid movie.,2.5,"Horrible, Zero effort, Stupid, NA",-0.7845,negative,Jim Pletcher,"stupid, horrible, na, zero effort",stupid,horrible,na,zero effort,
The best teacher I\'ve had in years... Keep it up please.,4.6,"best, teacher, years, Keep it up",0.6369,positive,Robert Warden,"teacher, years, best, keep it up",teacher,years,best,keep it up,
"Professor Saunders, is very clear on what you should expect for a lit class. If you have questions ask her, If you don\'t understand why you got a certain grade, she will answer it, and give decent to good feed back. Also, make sure you do the work, PARTICIPATE at least three times on the discussion board, and she is very FAIR with grades as well.",4.3,"clear, questions, feedback, participate, fair",0.5994,positive,Juanita Campos,"feedback, questions, participate, fair, clear",feedback,questions,participate,fair,clear
"Very boring, liked to hear himself talk, took attendance, but assignments were easy and he was well organized.",2.1,"boring, liked to hear himself talk, easy assignments, well organized",0.6705,positive,Sally Mallory,"boring, well organized, liked to hear himself talk, easy assignments",boring,well organized,liked to hear himself talk,easy assignments,
"tests are extremely hard. he trys to make lectures interesting, and he somewhat succeeds. definitely would not reccommend him because its hard to get a decent grade unless u want to study your life away.",2.6,"hardworking, interesting, challenging, not recommended",0.4035,positive,Jans Wager,"challenging, interesting, hardworking, not recommended",challenging,interesting,hardworking,not recommended,
"It would be nice if she wouldn\'t be so relentless about the documents and the grammar. I understand your intent, but this is a typing class... Not an English class... If you wanna teach English maybe you should go back to school T. Moore. Maybe then you\'ll get what it\'s like.. I hope you have a teacher just like you, maybe then you\'ll change.",3.6,"relentless, grammar, typing class, English class, teacher",0.0516,positive,Robert Warden,"grammar, teacher, relentless, typing class, english class",grammar,teacher,relentless,typing class,english class
"She is a bad teacher. The class consists of 2 tests and a paper. On the tests she asks things like, ""From the coursepack, the article __ was published in what year?"" Who cares what year it\'s published?! And she is incredibly boring. I seriously think she wrote all the nice comments about herself below this one. No one can actually think she\'s good.",3.5,"bad teacher, boring, uninteresting, irrelevant questions",-0.7003,negative,Mulloy Robertson,"uninteresting, boring, irrelevant questions, bad teacher",uninteresting,boring,irrelevant questions,bad teacher,
excellent,3.9,excellent,0.5719,positive,Nancy Jones,excellent,excellent,,,,
"My worst grade for a course so far in university. I think it\'s the annoying overuse of textbook material that makes the class hard. It\'s very frustrating when all of your marks come from exams (based only on textbook material), and there are no assignments or lab work. His slideshow notes are terrible - they contain only words and no explanations.",2.7,"annoying, frustrating, terrible",-0.8271,negative,William Hollinrake,"frustrating, annoying, terrible",frustrating,annoying,terrible,,
"This professor only lectures about why students should be good people and be classy. Come time for our midterm, everyone asked what the test was going to be on because no material was covered or understandable in class. There wasn\'t even enough time to take her midterm because she talked the majority of the time about her day. Never again.",2.3,"lectures, good people, classy, midterm, material, understandable, time management",0.7003,positive,Rich Carter,"lectures, midterm, material, understandable, classy",lectures,midterm,material,understandable,classy
"Beware of Dr Fernando as a professor or advisor. He does not teach to broad learning styles in students. It can be a serious problem for someone who needs to understand plant science taught by him. He relies on textbooks. When answering questions, he was more intolerant and unhelpful than any other teacher I have ever had.",3.1,"unhelpful, intolerant, relies on textbooks, not accommodating to different learning styles",0.0,neutral,William Hollinrake,"intolerant, unhelpful, relies on textbooks, not accommodating to different learning styles",intolerant,unhelpful,relies on textbooks,not accommodating to different learning styles,
Professor Strong is an awesome teacher. He teaches the science and relates it all to real life. If you stick with him he eases up towards the end of the semester. He is knowledgeable and wise. He is always willing to stay after class to help and even held a study group on a Saturday morning before finals. He\'s the best! Take him if you can.,3.5,"knowledgeable, wise, awesome, best, helpful",0.9349,positive,Jans Wager,"helpful, wise, knowledgeable, awesome, best",helpful,wise,knowledgeable,awesome,best
class is fun and he is not a bad professor...reallly likes to talk to much though,4.2,"fun, not bad professor, talks too much",0.7311,positive,Bill Sanders,"fun, talks too much, not bad professor",fun,talks too much,not bad professor,,
"Ok I change my mind! I thought she was cool, but NO!! She is only friendly with her favorite students. I never got the TA job even with my super high GPA. Very rude, cold and unapproachable. Never get your lab reviewed by her, she takes off marks!!",2.8,"rude, cold, unapproachable, biased, unfair",-0.802,negative,Jans Wager,"unfair, biased, unapproachable, rude, cold",unfair,biased,unapproachable,rude,cold
"If you\'re a psyc major at UTT, you will have to take Dr. Schrieber for several classes. He is a very knowledgable professor, but has no pedagogic ability whatsoever. Granted you will make an A guaranteed, but you won\'t learn anything at all. Dr. Schriber may be a cool guy, but his classes are a total waste of time and money.",2.7,"knowledgeable, guaranteed A, cool, waste of time and money",-0.128,negative,Jans Wager,"knowledgeable, cool, waste of time and money, guaranteed a",knowledgeable,cool,waste of time and money,guaranteed a,
This class was real easy. The guys knows what he is talking about.,4.4,"easy, knowledgeable",0.4404,positive,Robert Warden,"knowledgeable, easy",knowledgeable,easy,,,
She is a tough grader an the fact that the paper has such a significant effect on your grade doesn\'t make sense since the paper is on anything you want to write about. \r On the up side she does make the topic interesting and she really enjoys what she teaches. Also she is willing to work with you.,3.9,"tough grader, significant effect on grade, interesting topic, enjoys teaching, willing to work with students",0.743,positive,William Hollinrake,"willing to work with students, tough grader, significant effect on grade, interesting topic, enjoys teaching",willing to work with students,tough grader,significant effect on grade,interesting topic,enjoys teaching
Easy ASS online course. You are given 1 or 2 discussion board questions and 1 short answer question(treated as a quiz) to be answered and submitted by Wed 11:59pm. Questions are so Easy.,4.3,"Easy, online course, discussion board questions, short answer question, quiz, easy.",0.7003,positive,Leslie Looney,"quiz, easy, short answer question, online course, easy.",quiz,easy,short answer question,online course,easy.
"Prof. Psaromiligkos is perhaps the most clear and precise professor that I have ever taken a class with. He is also extremely dedicated, hardworking and is always willing to clarify any doubts that a student may have. His class notes are very well organized. He is also very friendly and has a nice sense of humor. Indeed, the best prof at McGill.",4.9,"clear, precise, dedicated, hardworking, organized, friendly, sense of humor, best prof",0.9337,positive,Robert Warden,"friendly, hardworking, dedicated, organized, precise",friendly,hardworking,dedicated,organized,precise
He is thee hotterst teacher in the face of the whole world. He love his job and that make it easier for the students to learned. I can not imagine learning much from somoeone eilse then him. Its hard to believed that he is not working at CCC. The students can really use him too.,4.9,"hot, passionate, dedicated, effective, valuable",0.9118,positive,Robert Warden,"passionate, valuable, dedicated, effective, hot",passionate,valuable,dedicated,effective,hot
